Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E37UKA0NXSI6UL,9/1/17 0:00,10/1/17 0:00,974009437
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,16092071845
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E7DQB1FN3TLLO,9/1/17 0:00,10/1/17 0:00,16
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EPY0LH55N8GEW,9/1/17 0:00,10/1/17 0:00,10440494564
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E5KH36MBXUNG8,9/1/17 0:00,10/1/17 0:00,1362
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,525964
AmazonCloudFront,GET,CA-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,230952551
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E375MH6ZAY37VJ,9/1/17 0:00,10/1/17 0:00,13354035902
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E38UUP5T1LQ073,9/1/17 0:00,10/1/17 0:00,7980
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/ETZYSUTH0ZF3O,9/1/17 0:00,10/1/17 0:00,24262776352
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E375MH6ZAY37VJ,9/1/17 0:00,10/1/17 0:00,1191
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E37UKA0NXSI6UL,9/1/17 0:00,10/1/17 0:00,76
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EEQTC9TPA4L25,9/1/17 0:00,10/1/17 0:00,3611387633
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/EPY0LH55N8GEW,9/1/17 0:00,10/1/17 0:00,715
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E7DQB1FN3TLLO,9/1/17 0:00,10/1/17 0:00,7517
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E7DQB1FN3TLLO,9/1/17 0:00,10/1/17 0:00,7517
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EPY0LH55N8GEW,9/1/17 0:00,10/1/17 0:00,715
AmazonCloudFront,GET,CA-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,230952551
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,2964
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E375MH6ZAY37VJ,9/1/17 0:00,10/1/17 0:00,13354035902
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E5KH36MBXUNG8,9/1/17 0:00,10/1/17 0:00,15649592600
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ETZYSUTH0ZF3O,9/1/17 0:00,10/1/17 0:00,4850
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E5KH36MBXUNG8,9/1/17 0:00,10/1/17 0:00,15649592600
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E37UKA0NXSI6UL,9/1/17 0:00,10/1/17 0:00,76
AmazonCloudFront,GET,CA-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,113
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,16092071845
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EPY0LH55N8GEW,9/1/17 0:00,10/1/17 0:00,10440494564
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E5KH36MBXUNG8,9/1/17 0:00,10/1/17 0:00,1362
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E38UUP5T1LQ073,9/1/17 0:00,10/1/17 0:00,83657070527
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/EEQTC9TPA4L25,9/1/17 0:00,10/1/17 0:00,58
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,2964
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E38UUP5T1LQ073,9/1/17 0:00,10/1/17 0:00,83657070527
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E7DQB1FN3TLLO,9/1/17 0:00,10/1/17 0:00,16
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EEQTC9TPA4L25,9/1/17 0:00,10/1/17 0:00,3611387633
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,525964
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E375MH6ZAY37VJ,9/1/17 0:00,10/1/17 0:00,1191
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E37UKA0NXSI6UL,9/1/17 0:00,10/1/17 0:00,974009437
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E38UUP5T1LQ073,9/1/17 0:00,10/1/17 0:00,7980
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,1526662826489
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ETZYSUTH0ZF3O,9/1/17 0:00,10/1/17 0:00,24262776352
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EEQTC9TPA4L25,9/1/17 0:00,10/1/17 0:00,58
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,1526662826489
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/ETZYSUTH0ZF3O,9/1/17 0:00,10/1/17 0:00,4850
AmazonCloudFront,GET,CA-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,113
AmazonCloudFront,GET,IN-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,2276
AmazonCloudFront,GET,IN-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,25059744434
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,1379
AmazonCloudFront,GET,EU-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,1371454
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EL88A8ILQCW7C,9/1/17 0:00,10/1/17 0:00,11408929914
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EL88A8ILQCW7C,9/1/17 0:00,10/1/17 0:00,3580
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EL88A8ILQCW7C,9/1/17 0:00,10/1/17 0:00,11408929914
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,13378362538
AmazonCloudFront,GET,IN-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,2276
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,13378362538
AmazonCloudFront,GET,EU-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,1371454
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/EL88A8ILQCW7C,9/1/17 0:00,10/1/17 0:00,3580
AmazonCloudFront,GET,EU-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,268809329750
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,92
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,1379
AmazonCloudFront,GET,EU-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,268809329750
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,1979217289
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,92
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,1979217289
AmazonCloudFront,GET,IN-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,25059744434
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,27839051918
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,27839051918
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E3B28GG4IGTKSS,9/1/17 0:00,10/1/17 0:00,962673036
AmazonCloudFront,GET,CA-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,1518
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,2479
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E3B28GG4IGTKSS,9/1/17 0:00,10/1/17 0:00,62
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E3B28GG4IGTKSS,9/1/17 0:00,10/1/17 0:00,62
AmazonCloudFront,GET,CA-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,10311980506
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/ERZ64CYPGTCBE,9/1/17 0:00,10/1/17 0:00,3053367154
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ERZ64CYPGTCBE,9/1/17 0:00,10/1/17 0:00,3053367154
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E3B28GG4IGTKSS,9/1/17 0:00,10/1/17 0:00,962673036
AmazonCloudFront,GET,CA-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,1518
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,2479
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ERZ64CYPGTCBE,9/1/17 0:00,10/1/17 0:00,152
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/ERZ64CYPGTCBE,9/1/17 0:00,10/1/17 0:00,152
AmazonCloudFront,GET,CA-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,10311980506
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2NOOZDM9221T0,9/1/17 0:00,10/1/17 0:00,19
AmazonCloudFront,GET,AP-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,19527500858
AmazonCloudFront,GET,AP-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,19527500858
AmazonCloudFront,GET,AP-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,4203
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2NOOZDM9221T0,9/1/17 0:00,10/1/17 0:00,98479089
AmazonCloudFront,GET,SA-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,6004095
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E1CJTSOUL26LXW,9/1/17 0:00,10/1/17 0:00,66627235419
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E1JTSHNXG20810,9/1/17 0:00,10/1/17 0:00,403
AmazonCloudFront,GET,AP-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,4203
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2LMJ3H1TGGR1N,9/1/17 0:00,10/1/17 0:00,5637254305
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2NOOZDM9221T0,9/1/17 0:00,10/1/17 0:00,98479089
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2LMJ3H1TGGR1N,9/1/17 0:00,10/1/17 0:00,505
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E3OJHNZZRNS5BM,9/1/17 0:00,10/1/17 0:00,97
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E1CJTSOUL26LXW,9/1/17 0:00,10/1/17 0:00,66627235419
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E3OJHNZZRNS5BM,9/1/17 0:00,10/1/17 0:00,1913610548
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E1CJTSOUL26LXW,9/1/17 0:00,10/1/17 0:00,6600
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E1JTSHNXG20810,9/1/17 0:00,10/1/17 0:00,403
AmazonCloudFront,GET,AP-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,2205928812
AmazonCloudFront,GET,SA-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,1
AmazonCloudFront,GET,AP-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,236
AmazonCloudFront,GET,SA-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,6004095
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2LMJ3H1TGGR1N,9/1/17 0:00,10/1/17 0:00,505
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2LMJ3H1TGGR1N,9/1/17 0:00,10/1/17 0:00,5637254305
AmazonCloudFront,GET,AP-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,2205928812
AmazonCloudFront,GET,AP-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2T40NAK0USO52,9/1/17 0:00,10/1/17 0:00,236
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E3OJHNZZRNS5BM,9/1/17 0:00,10/1/17 0:00,1913610548
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2NYQG5CAC1L5P,9/1/17 0:00,10/1/17 0:00,18398167352
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E3OJHNZZRNS5BM,9/1/17 0:00,10/1/17 0:00,97
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2NYQG5CAC1L5P,9/1/17 0:00,10/1/17 0:00,1802
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2NYQG5CAC1L5P,9/1/17 0:00,10/1/17 0:00,18398167352
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E1JTSHNXG20810,9/1/17 0:00,10/1/17 0:00,6474455044
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2NYQG5CAC1L5P,9/1/17 0:00,10/1/17 0:00,1802
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E1CJTSOUL26LXW,9/1/17 0:00,10/1/17 0:00,6600
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E1JTSHNXG20810,9/1/17 0:00,10/1/17 0:00,6474455044
AmazonCloudFront,GET,SA-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,1
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2NOOZDM9221T0,9/1/17 0:00,10/1/17 0:00,19
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E3P3WNB6OO6S17,9/1/17 0:00,10/1/17 0:00,2847812726
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E3P3WNB6OO6S17,9/1/17 0:00,10/1/17 0:00,168
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E1PW4MXM69WCHZ,9/1/17 0:00,10/1/17 0:00,74
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E3P3WNB6OO6S17,9/1/17 0:00,10/1/17 0:00,2847812726
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E1PW4MXM69WCHZ,9/1/17 0:00,10/1/17 0:00,1059081061
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E1PW4MXM69WCHZ,9/1/17 0:00,10/1/17 0:00,74
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E3P3WNB6OO6S17,9/1/17 0:00,10/1/17 0:00,168
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E1PW4MXM69WCHZ,9/1/17 0:00,10/1/17 0:00,1059081061
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,277
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,277
AmazonCloudFront,GET,EU-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,681150142
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2WG4IJUKI1X8P,9/1/17 0:00,10/1/17 0:00,373121060
AmazonCloudFront,GET,EU-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2BRA5ADBF6SWG,9/1/17 0:00,10/1/17 0:00,196862342
AmazonCloudFront,GET,EU-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,39
AmazonCloudFront,GET,EU-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2BRA5ADBF6SWG,9/1/17 0:00,10/1/17 0:00,15
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2WG4IJUKI1X8P,9/1/17 0:00,10/1/17 0:00,75
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,5572750053
AmazonCloudFront,GET,EU-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2BRA5ADBF6SWG,9/1/17 0:00,10/1/17 0:00,196862342
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2WG4IJUKI1X8P,9/1/17 0:00,10/1/17 0:00,75
AmazonCloudFront,GET,EU-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,681150142
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,5572750053
AmazonCloudFront,GET,EU-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E28VVLMIBQ73XL,9/1/17 0:00,10/1/17 0:00,39
